	TITLE	ID	KEYWORDS_DFG/Primary/GREEN_SUPPLY_CHAIN	KEYWORDS_DFG/Primary/GREEN_RAZOR	KEYWORDS_DFG/Primary/RECYCLING	KEYWORDS_DFG/Primary/REUSING	KEYWORDS_DFG/Secondary/GREEN_SUPPLY_CHAIN	KEYWORDS_DFG/Secondary/GREEN_RAZOR	KEYWORDS_DFG/Secondary/RECYCLING	KEYWORDS_DFG/Secondary/REUSING	financial_tone	sustainability_potential	SENTENCE	COUNT_DFG/Primary/GREEN_SUPPLY_CHAIN	COUNT_DFG/Primary/GREEN_RAZOR	COUNT_DFG/Primary/RECYCLING	COUNT_DFG/Primary/REUSING	COUNT_DFG/Secondary/GREEN_SUPPLY_CHAIN	COUNT_DFG/Secondary/GREEN_RAZOR	COUNT_DFG/Secondary/RECYCLING	COUNT_DFG/Secondary/REUSING
125	Audi 2020	d4b538f012c8cb6590379a21c8682e1c											The Car.	0	0	0	0	0	0	0	0
126	Audi 2020	d4b538f012c8cb6590379a21c8682e1c											Software organization thus enables enormous economies of scale and, at the same time, gives us as a brand the opportunity to focus on what makes the difference for our customers: intuitive interaction with the car.	0	0	0	0	0	0	0	0
127	Audi 2020	d4b538f012c8cb6590379a21c8682e1c											China is key for us, not just as a sales market, but also as a technological pacesetter.	0	0	0	0	0	0	0	0
128	Audi 2020	d4b538f012c8cb6590379a21c8682e1c											This market drives many innovations and is evolving rapidly.	0	0	0	0	0	0	0	0
129	Audi 2020	d4b538f012c8cb6590379a21c8682e1c											We want to use this momentum.	0	0	0	0	0	0	0	0
130	Audi 2020	d4b538f012c8cb6590379a21c8682e1c											We are therefore repositioning our business in China and developing more resources, expertise and decision-making power locally.	0	0	0	0	0	0	0	0
131																					
132	Audi 2020	f01c1335b6145a6f5ae31ca6aab938b9											Especially when it comes to digitalization and electrification, China's pace is tremendous.	0	0	0	0	0	0	0	0
133	Audi 2020	f01c1335b6145a6f5ae31ca6aab938b9											We want to achieve one-third of our sales locally with electrified models as early as 2025.	0	0	0	0	0	0	0	0
134	Audi 2020	f01c1335b6145a6f5ae31ca6aab938b9											The new cooperation company is making an important contribution to this.	0	0	0	0	0	0	0	0
135	Audi 2020	f01c1335b6145a6f5ae31ca6aab938b9											Starting in 2024, Audi together with FAW will Even at this stage, customer demand shows that we have the right offer.	0	0	0	0	0	0	0	0
136	Audi 2020	f01c1335b6145a6f5ae31ca6aab938b9											We were able to practically double sales of our electric models in 2020 compared with the previous year.	0	0	0	0	0	0	0	0
137	Audi 2020	f01c1335b6145a6f5ae31ca6aab938b9											Audi was by far the strongest-selling manufacturer of battery electric vehicles among the three German premium brands.	0	0	0	0	0	0	0	0
138	Audi 2020	f01c1335b6145a6f5ae31ca6aab938b9											Further highly attractive electric models will be introduced onto the market this year with the Audi e-tron GT quattro, 1 the Audi Q4 e-tron and the Audi Q4 Sportback e-tron.	0	0	0	0	0	0	0	0
139	Audi 2020	f01c1335b6145a6f5ae31ca6aab938b9											In addition to the product, however, we are continuing to focus on the ecosystem surrounding the car, for instance with the Audi e-tron Charging Service.	0	0	0	0	0	0	0	0
140																					
141	Audi 2020	31cbe7c13792a0bdff128e7b8e3a5226											We are setting ourselves ambitious goals for 2021 and want to keep on growing.	0	0	0	0	0	0	0	0
142	Audi 2020	31cbe7c13792a0bdff128e7b8e3a5226											As a strong marketing and sales team, we'll be successful at this next stage, too.	0	0	0	0	0	0	0	0
143	Audi 2020	31cbe7c13792a0bdff128e7b8e3a5226											We will focus our actions even more closely on our customers.	0	0	0	0	0	0	0	0
144																					
145	Audi 2020	388a4660ca88565175756948a65c6915											With the realignment of the brand and sales strategy, we have made the Four Rings fit for the future.	0	0	0	0	0	0	0	0
146	Audi 2020	388a4660ca88565175756948a65c6915											"Not only will we ""be"" progress, we will also reinterpret it."	0	0	0	0	0	0	0	0
147	Audi 2020	388a4660ca88565175756948a65c6915											It is also important to me that we approach things with courage, passion, perfection and fascination.	0	0	0	0	0	0	0	0
148	Audi 2020	388a4660ca88565175756948a65c6915											This is how we will go on shaping the premium mobility of the future together.	0	0	0	0	0	0	0	0
149																					
150	Audi 2020	576441bd6db2eb2a8e840685485421f4											Ms. Wortmann, what was the greatest challenge for Marketing and Sales in 2020?	0	0	0	0	0	0	0	0
151																					
152	Audi 2020	57425e231a7cf30bc7c5cf27ced08300											Together we responded quickly to the restrictions and developments in the markets.	0	0	0	0	0	0	0	0
153	Audi 2020	57425e231a7cf30bc7c5cf27ced08300											Thanks to our strong crisis management, we delivered more than 1.69 million cars to our customers, shored up liquidity in the retail trade and reduced inventories.	0	0	0	0	0	0	0	0
